,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
290,0.5,1.0,0.0,230.4929394819586,18.0,114.0,0.1
291,0.5,1.0,0.0,111.28575719804306,8.0,59.0,0.1
292,0.5,1.0,0.0,175.41249011429622,11.0,90.0,0.1
293,0.5,1.0,0.0,44.86777736485653,4.0,16.0,0.1
294,0.5,1.0,0.0,228.56384092786976,22.0,119.0,0.1
295,0.5,1.0,0.0,182.1345769229424,9.0,100.0,0.1
296,0.5,1.0,0.0,44.24829275367639,4.0,23.0,0.1
297,0.5,1.0,0.0,196.35516924406895,20.0,85.0,0.1
298,0.5,1.0,0.0,148.43874959196958,11.0,70.0,0.1
299,0.5,1.0,0.0,39.18378893182005,4.0,20.0,0.1
300,0.5,1.0,0.0,103.38439680301845,7.0,49.0,0.1
301,0.5,1.0,0.0,372.07144579360255,22.0,182.0,0.1
302,0.5,1.0,0.0,20.737712579305548,3.0,9.0,0.1
303,0.5,1.0,0.0,55.69394910720338,4.0,28.0,0.1
304,0.5,1.0,0.0,20.24792898980937,2.0,11.0,0.1
305,0.5,1.0,0.0,284.92933745194057,19.0,130.0,0.1
306,0.5,1.0,0.0,216.5488668269225,19.0,102.0,0.1
307,0.5,1.0,0.0,41.4759586666184,6.0,30.0,0.1
308,0.5,1.0,0.0,65.19518823750441,4.0,28.0,0.1
309,0.5,1.0,0.0,243.86234543295865,20.0,114.0,0.1
310,0.5,1.0,0.0,167.29565940142004,9.0,84.0,0.1
311,0.5,1.0,0.0,164.1910990574402,12.0,85.0,0.1
312,0.5,1.0,0.0,279.07972932729353,21.0,161.0,0.1
313,0.5,1.0,0.0,155.5189792364746,6.0,63.0,0.1
314,0.5,1.0,0.0,126.34495288650446,8.0,56.0,0.1
315,0.5,1.0,0.0,81.12316918940839,6.0,51.0,0.1
316,0.5,1.0,0.0,316.8814858303859,24.0,164.0,0.1
317,0.5,1.0,0.0,61.92139696773903,8.0,35.0,0.1
